label,text
ham,Hey are we still on for the meeting tomorrow?
ham,Please review the attached document before 5 PM.
ham,I will be late for dinner tonight.
spam,Win a free iPhone now! Click here to claim your prize.
spam,Urgent! Your bank account has been compromised. Verify immediately.
spam,Make money fast from home. No experience needed. Guaranteed income!
ham,Can you send me the latest project files by Monday?
spam,Exclusive offer! Buy one get one free. Limited time only.
ham,Happy birthday! Hope you have a great day with your family.
spam,Congratulations! You have been selected for a $1000 cash prize.
